;7.5.;14.5.;21.5.;27.5.;4.6.;5.6.;11.6.;24.6.;2.7.;16.7.;23.7.;13.8.;19.8.;20.8.;26.8.;27.8.;2.9.;3.9.;17.9.;24.9.
Armin Van Buuren;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
Ingrosso;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1
bbno$;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Beatles, the;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
Betty Everett;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0
Big Mountain;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Black Eyed Peas;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0
Bläck Fööss;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Black Machine;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Bon Jovi;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
Boyz II Men;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Boz Scaggs;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
Brian Briggs;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Buffalo Springfield;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
Carl Perkins;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
Cassandra Melt;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Celeste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0
Change;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
